Rang,Nom,Bayer,Type,Magnitude,Distance,Sources
0,Soleil,,G2 V,-26.73,0.000 016,
1,Sirius,$\alpha$ CMa,A1 V / DA,-1.47,8.6,(en) Sirius [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
2,Canopus,$\alpha$ Car,F0 Ib,-0.72,310,(en) $\alpha$ Car [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
3,Arcturus,$\alpha$ Boo,K1.5 IIIpe,-0.04,34,(en) $\alpha$ Boo [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
4,Rigil Kentaurus,$\alpha$1 Cen = $\alpha$ Cen A,G2 V,-0.01,4,(en) $\alpha$1 Cen [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
5,Véga,$\alpha$ Lyr,A0 Va,+0.03,25,(en) $\alpha$ Lyr [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
6,Rigel,$\beta$ Ori,B8 Ia,+0.12,630,(en) $\beta$ Ori [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
7,Procyon,$\alpha$ CMi,F5 IV–V,+0.38,11,(en) $\alpha$ CMi [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
8,Achernar,$\alpha$ Eri,B3 Vpe,+0.46,130,(en) $\alpha$ Eri [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
9,Bételgeuse,$\alpha$ Ori,M1-2 Ia-Iab,+0.5,430,(en) $\alpha$ Ori [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
10,Hadar,$\beta$ Cen,B1 III,+0.60,530,(en) $\beta$ Cen [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
11,Capella,$\alpha$1 Aur = $\alpha$ Aur A,G5 IIIe,+0.71,42,(en) $\alpha$1 Aur [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
12,Altaïr,$\alpha$ Aql,A7 IV-V,+0.77,16,(en) $\alpha$ Aql [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
